English;French;Italian;German;Portuguese;Spanish;Russian;Japanese;Mandarin
Forty three;Quarante trois;Quarantatre;Dreiundvierzig;Quarenta e tres;Cuarenta y tres;Sorok tri;Yonjuusan;Sishisan
Forty four;Quarante quatre;Quarantaquattro;Vierundvierzig;Quarenta e quatro;Cuarenta y cuatro;Sorok chetyre;Yonjuushi;Sishisi
Forty five;Quarante cinq;Quarantacinque;Funfundvierzig;Quarenta e cinco;Cuarenta y cinco;Sorok pyat;Yonjuugo;Sishiwu
Forty six;Quarante six;Quarantasei;Sechsundvierzig;Quarenta e seis;Cuarenta y seis;Sorok shest;Yonjuuroku;Sishiliu
Forty seven;Quarante sept;Quarantasette;Siebenundvierzig;Quarenta e sete;Cuarenta y siete;Sorok sem;Yonjuushichi;Sishiqi
Forty eight;Quarante huit;Quarantotto;Achtundvierzig;Quarenta e oito;Cuarenta y ocho;Sorok vosem;Yonjuuhachi;Sishiba
Forty nine;Quarante neuf;Quarantanove;Neunundvierzig;Quarenta e nove;Cuarenta y nueve;Sorok devyat;Yonjuukyuu;Sishijiu
Fifty;Cinquante;Cinquanta;Funfzig;Cinquenta;Cincuenta;Pyatdesyat;Gojuu;Wushi
Fifty one;Cinquante etun;Cinquantuno;Einundfunfzig;Cinquenta eum;Cincuenta yuno;Pyatdesyat odin;Gojuuichi;Wushiyi
Fifty two;Cinquante deux;Cinquantadue;Zweiundfunfzig;Cinquenta e dois;Cincuenta y dos;Pyatdesyat dva;Gojuuni;Wushier
Fifty three;Cinquante trois;Cinquantatre;Dreiundfunfzig;Cinquenta e tres;Cincuenta y tres;Pyatdesyat tri;Gojuusan;Wushisan
Fifty four;Cinquante quatre;Cinquantaquattro;Vierundfunfzig;Cinquenta e quatro;Cincuenta y cuatro;Pyatdesyat chetyre;Gojuushi;Wushisi
Fifty five;Cinquante cinq;Cinquantacinque;Funfundfunfzig;Cinquenta e cinco;Cincuenta y cinco;Pyatdesyat pyat;Gojuugo;Wushiwu
Fifty six;Cinquante six;Cinquantasei;Sechsundfunfzig;Cinquenta e seis;Cincuenta y seis;Pyatdesyat shest;Gojuuroku;Wushiliu
Fifty seven;Cinquante sept;Cinquantasette;Siebenundfunfzig;Cinquenta e sete;Cincuenta y siete;Pyatdesyat sem;Gojuushichi;Wushiqi
Fifty eight;Cinquante huit;Cinquantotto;Achtundfunfzig;Cinquenta e oito;Cincuenta y ocho;Pyatdesyat vosem;Gojuuhachi;Wushiba
Fifty nine;Cinquante neuf;Cinquantanove;Neunundfunfzig;Cinquenta e nove;Cincuenta y nueve;Pyatdesyat devyat;Gojuukyuu;Wushijiu
Sixty;Soixante;Sessanta;Sechzig;Sessenta;Sesenta;Shestdesyat;Rokujuu;Liushi
Sixty one;Soixante etun;Sessantuno;Einundsechzig;Sessenta eum;Sesenta yuno;Shestdesyat odin;Rokujuuichi;Liushiyi
Sixty two;Soixante deux;Sessantadue;Zweiundsechzig;Sessenta e dois;Sesenta y dos;Shestdesyat dva;Rokujuuni;Liushier
Sixty three;Soixante trois;Sessantatre;Dreiundsechzig;Sessenta e tres;Sesenta y tres;Shestdesyat tri;Rokujuusan;Liushisan
